WS01000010,Impostazione guidata periferica wireless
WS98060060,WEP 128(104) bit: "71f2234ab56cd709e5412aa3ba"
WS98070010,Chiudi impostazione
WS98070020,L'impostazione non è completa.
WS98070030,Se si esce dal programma di impostazione, la periferica wireless non verrà configurata.
WS98070040,Per continuare il programma di impostazione, fare clic su "Riprendi".
WS98070050,Per uscire dal programma di impostazione, fare clic su "Esci".
WS98100010,Chiave di rete non valida
WS98100020,La frase di accesso è una stringa ASCII di 8-63 caratteri.
WS98150010,Chiave di rete non valida
WS98150020,La chiave di rete non è stata immessa correttamente.Immettere 5 o da 8 a 63 caratteri a seconda del metodo di protezione.
WS98150030,Per ulteriori informazioni, consultare la Guida.
WS98160010,Errore di connessione USB
WS98160020,Verificare che il cavo USB sia collegato al dispositivo.
WS98160030,Verificare che il dispositivo sia acceso.
WS99010010,OK
WS99010020,Annulla
WS99010030,Esci
WS99010040,< Indietro
WS99010050,Avanti >
WS99010060,Guida
WS99010070,Aggiorna
WS99010090,Riprendi
WS99010100,Avanzate
WS99010130,Dove si trova l'SSID?
WS99010140,Dove si trova la chiave di rete?
WS99010150,Riprova >
WS99020100,Sistema aperto
WS99020110,Chiave condivisa
WS99020120,WPA / WPA2-PSK
WS99020160,LEAP
WS99020170,EAP-FAST
WS99020180,PEAP
WS99020190,EAP-TTLS
WS99020200,Nessuna
WS99020210,WEP
WS99020220,TKIP
WS99020230,AES
WS99020240,CKIP
WS99020250,TKIP+AES
WS99020500,EAP-TLS
WS99030100,NONE
WS99030110,GTC
WS99030120,MS-CHAPv2
WS99030130,CHAP
WS99030140,MS-CHAP
WS99030150,PAP
